# 游戏关键词列表
# 格式：分类|关键词|搜索意图
# 用法：Python 脚本读取此文件，批量生成文章

## 王者荣耀
wangzhe|王者荣耀S35赛季上分英雄推荐|攻略
wangzhe|王者荣耀新手玩什么英雄好|推荐
wangzhe|王者荣耀排位怎么上星耀|教程
wangzhe|王者荣耀打野思路和节奏|攻略
wangzhe|王者荣耀射手哪个最强2026|评测
wangzhe|王者荣耀辅助怎么玩|教程
wangzhe|王者荣耀铭文怎么搭配|教程
wangzhe|王者荣耀五排阵容推荐|攻略
wangzhe|王者荣耀克制关系大全|攻略
wangzhe|王者荣耀皮肤手感排行|推荐
wangzhe|王者荣耀段位等级表|百科
wangzhe|王者荣耀赛季结束时间|资讯
wangzhe|王者荣耀新英雄技能介绍|资讯
wangzhe|王者荣耀中路法师推荐|攻略
wangzhe|王者荣耀对抗路英雄排行|攻略
wangzhe|王者荣耀经济怎么刷最快|教程
wangzhe|王者荣耀团战站位技巧|教程
wangzhe|王者荣耀举报扣分规则|百科
wangzhe|王者荣耀巅峰赛怎么打|教程
wangzhe|王者荣耀战令皮肤值不值得买|评测

## 原神
yuanshen|原神4.8版本新角色值得抽吗|评测
yuanshen|原神新手前期怎么玩|教程
yuanshen|原神最强阵容搭配推荐2026|攻略
yuanshen|原神深渊12层满星攻略|攻略
yuanshen|原神圣遗物怎么刷|教程
yuanshen|原神抽卡保底机制详解|百科
yuanshen|原神五星角色强度排行|评测
yuanshen|原神探索度100%攻略|攻略
yuanshen|原神每日任务必做清单|教程
yuanshen|原神树脂怎么用最划算|教程
yuanshen|原神武器池要不要抽|评测
yuanshen|原神元素反应机制详解|百科
yuanshen|原神世界等级突破任务攻略|攻略
yuanshen|原神角色培养优先级|攻略
yuanshen|原神隐藏成就大全|攻略
yuanshen|原神食谱获取位置汇总|攻略
yuanshen|原神矿点采集路线|攻略
yuanshen|原神联机玩法介绍|百科
yuanshen|原神月卡值不值得买|评测
yuanshen|原神体力回复机制|百科

## 和平精英
hepingjingying|和平精英灵敏度设置最新2026|教程
hepingjingying|和平精英压枪技巧教学|教程
hepingjingying|和平精英跳伞落点推荐|攻略
hepingjingying|和平精英武器伤害排行|百科
hepingjingying|和平精英载具刷新位置|攻略
hepingjingying|和平精英决赛圈怎么打|教程
hepingjingying|和平精英配件搭配推荐|攻略
hepingjingying|和平精英新手吃鸡技巧|教程
hepingjingying|和平精英信号圈机制详解|百科
hepingjingying|和平精英段位等级表|百科
hepingjingying|和平精英狙击枪怎么用|教程
hepingjingying|和平精英四排配合技巧|教程
hepingjingying|和平精英隐藏点位大全|攻略
hepingjingying|和平精英赛季手册奖励|资讯
hepingjingying|和平精英画质设置推荐|教程
hepingjingying|和平精英陀螺仪灵敏度|教程
hepingjingying|和平精英空投武器排行|百科
hepingjingying|和平精英烟雾弹使用技巧|教程
hepingjingying|和平精英攻楼技巧|教程
hepingjingying|和平精英钢枪地点推荐|攻略

## LOL手游
lolm|LOL手游打野路线推荐新手|教程
lolm|LOL手游最强英雄排行2026|评测
lolm|LOL手游ADC怎么玩|教程
lolm|LOL手游辅助视野布置|教程
lolm|LOL手游符文搭配推荐|攻略
lolm|LOL手游段位晋级赛规则|百科
lolm|LOL手游补刀技巧教学|教程
lolm|LOL手游团战站位攻略|教程
lolm|LOL手游出装推荐最新|攻略
lolm|LOL手游中单法师推荐|攻略
lolm|LOL手游上单英雄排行|攻略
lolm|LOL手游地图资源刷新时间|百科
lolm|LOL手游排位上分技巧|教程
lolm|LOL手游新手入门指南|教程
lolm|LOL手游皮肤特效排行|推荐
lolm|LOL手游版本更新内容|资讯
lolm|LOL手游克制关系表|百科
lolm|LOL手游闪现怎么用|教程
lolm|LOL手游投降规则|百科
lolm|LOL手游好友系统介绍|百科

## 蛋仔派对
danzaipaidui|蛋仔派对地图工坊怎么玩|教程
danzaipaidui|蛋仔派对新手入门攻略|教程
danzaipaidui|蛋仔派对皮肤获取方式|攻略
danzaipaidui|蛋仔派对竞速技巧|教程
danzaipaidui|蛋仔派对关卡通关攻略|攻略
danzaipaidui|蛋仔派对赛季奖励|资讯
danzaipaidui|蛋仔派对隐藏皮肤|攻略
danzaipaidui|蛋仔派对双人模式攻略|教程
danzaipaidui|蛋仔派对道具使用技巧|教程
danzaipaidui|蛋仔派对排位赛规则|百科
